Date,Timestamp,Training Method,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Train Error,Avg. Ripe Train Error,Avg. Real Train Error
2020/03/11,23:00:38,RMSprop,15,0.010000,5,'6-5-4-3-2,1,26.345562,26.640845,5.591549
,,,,,,,2,15.623026,16.651408,4.873239
,,,,,,,3,11.237853,12.778169,4.830986
,,,,,,,4,8.745771,8.760563,4.788732
,,,,,,,5,7.213225,8.084507,4.845070
,,,,,,,6,6.206099,8.077465,4.845070
,,,,,,,7,5.481390,6.288732,4.845070
,,,,,,,8,4.937109,5.204225,4.845070
,,,,,,,9,4.520368,5.204225,4.845070
,,,,,,,10,4.196163,5.204225,4.845070
,,,,,,,11,3.939367,5.204225,4.802817
,,,,,,,12,3.733039,5.204225,4.704225
,,,,,,,13,3.565848,5.200704,4.704225
,,,,,,,14,3.429253,5.042254,4.704225
,,,,,,,15,3.316529,4.975352,4.704225
