Date,Timestamp,Num_Epochs,Learning Rate,# Hidden Layers,Hidden Layer Structure,Epoch,Avg. Raw Train Error,Avg. Ripe Train Error,Avg. Real Train Error
2020/02/04,12:27:33,6,0.750000,3,'6-4-2,1,2.848006,3.878070,4.056140
,,,,,,2,2.625821,3.637719,3.849123
,,,,,,3,2.588542,3.597368,3.800000
,,,,,,4,2.571566,3.554386,3.810526
,,,,,,5,2.562978,3.550877,3.800000
,,,,,,6,2.558415,3.536842,3.796491
2020/02/04,12:33:19,6,0.750000,2,'10-10,1,8.864551,9.474561,4.664912
,,,,,,2,2.981032,3.883333,4.166667
,,,,,,3,2.922991,3.870175,4.138596
,,,,,,4,2.902878,3.873684,4.105263
,,,,,,5,2.893503,3.885088,4.092982
,,,,,,6,2.888329,3.892982,4.091228
